idx,obj_value,converged,iterations,iteration_limit_reached,time_it_took,theta_hat,theta0,is_optimum
1,7.23670309332249e-28,true,14,false,3.9799915,"[4.969793004253908, 1.1912045293502276]","[0.8082879284649668, 2.008112624852031]",0
2,7.235498915606761e-28,true,13,false,0.0003608,"[4.969793004254705, 1.1912045293501778]","[-1.1220725081141734, 0.7650300179102025]",0
3,1.60726271011644e-28,true,14,false,0.0003451,"[4.96979300425391, 1.1912045293502274]","[-1.1046361023292959, 0.18025374632691527]",1
4,5.320891008791401e-28,true,14,false,0.0003672,"[4.969793004253927, 1.1912045293502262]","[-0.4169926351649334, 2.0289114854525314]",0
5,2.8461854003347545e-25,true,13,false,0.0005553,"[4.969793004271526, 1.19120452934913]","[0.28758798062385577, -0.12763690272983585]",0
6,7.23670309332249e-28,true,14,false,0.000423,"[4.969793004253908, 1.1912045293502276]","[0.2298186980518676, 0.4694770042412599]",0
7,8.260973072681297e-28,true,14,false,0.0005911,"[4.969793004253912, 1.1912045293502274]","[-0.4217686643996927, -1.5268834666380147]",0
8,5.870482100700333e-28,true,14,false,0.0005835,"[4.969793004253916, 1.1912045293502271]","[-1.355590621101197, 0.6001322727540475]",0
9,2.330133338374225e-24,true,13,false,0.0005059,"[4.969793004304313, 1.1912045293470876]","[0.0694591410918936, -2.0538554561632223]",0
10,6.984920787891614e-28,true,14,false,0.0008951,"[4.969793004253909, 1.1912045293502274]","[-0.11732280453081337, -0.8280567719469374]",0
11,7.965706903963964e-28,true,14,false,0.0007028,"[4.9697930042539165, 1.191204529350227]","[1.2192815097319654, 1.9026327297429109]",0
12,1.5619236123546386e-26,true,13,false,0.000635,"[4.969793004258031, 1.1912045293499707]","[0.29291433452245674, 0.6596379523048166]",0
13,7.965706903963964e-28,true,14,false,0.0008884,"[4.969793004253916, 1.191204529350227]","[-0.031148130349280094, 0.3646547529502906]",0
14,4.708850005570434e-27,true,13,false,0.0007023,"[4.969793004255889, 1.191204529350104]","[0.3158331001728098, 0.7859141337249973]",0
15,1.9369777240102804e-28,true,14,false,0.0007267,"[4.969793004253921, 1.1912045293502267]","[-2.1623790026403724, 0.1706378785324274]",0
16,3.8581720546458034e-28,true,14,false,0.011811,"[4.969793004253918, 1.191204529350227]","[-0.8900766562698114, -1.2890210708540353]",0
17,8.208268335567972e-28,true,13,false,0.0007497,"[4.969793004253876, 1.1912045293502294]","[0.8542424475591821, 0.9370573773608326]",0
18,3.8581720546458034e-28,true,14,false,0.0007322,"[4.969793004253918, 1.191204529350227]","[0.3417821366484886, 0.5080857763662175]",0
19,6.53259139900523e-28,true,14,false,0.0005326,"[4.969793004253913, 1.1912045293502271]","[-0.3188700715740966, -2.249739828113134]",0
20,7.23670309332249e-28,true,14,false,0.0004681,"[4.9697930042539085, 1.1912045293502276]","[-0.33745447783309457, 0.12530157347367626]",0
