idx,obj_value,converged,iterations,iteration_limit_reached,time_it_took,theta_hat,theta0,is_optimum
1,1.0475958651972258e-24,true,9,false,0.6244819,"[4.96979300421376, 1.1912045293528397]","[0.8082879284649668, 2.008112624852031]",0
2,7.8018502033995975e-28,true,9,false,0.0004777,"[4.969793004255019, 1.1912045293501554]","[-1.1220725081141734, 0.7650300179102025]",0
3,3.3584059426187373e-25,true,9,false,0.0005178,"[4.969793004276642, 1.1912045293487483]","[-1.1046361023292959, 0.18025374632691527]",0
4,1.2504645810164842e-24,true,9,false,0.0005788,"[4.969793004210052, 1.1912045293530809]","[-0.4169926351649334, 2.0289114854525314]",0
5,9.108528217657389e-25,true,9,false,0.0007847,"[4.969793004291344, 1.1912045293477918]","[0.28758798062385577, -0.12763690272983585]",0
6,1.511590836117943e-25,true,9,false,0.0007663,"[4.969793004269165, 1.1912045293492348]","[0.2298186980518676, 0.4694770042412599]",0
7,4.96248511676189e-24,true,9,false,0.0003917,"[4.969793004341287, 1.1912045293445426]","[-0.4217686643996927, -1.5268834666380147]",0
8,2.848747502541077e-26,true,9,false,0.0007954,"[4.969793004260533, 1.1912045293497966]","[-1.355590621101197, 0.6001322727540475]",0
9,7.580413149966945e-24,true,9,false,0.0009074,"[4.969793004361912, 1.1912045293432005]","[0.0694591410918936, -2.0538554561632223]",0
10,2.5236425087928008e-24,true,9,false,0.0006708,"[4.969793004316226, 1.191204529346173]","[-0.11732280453081337, -0.8280567719469374]",0
11,8.083259843985857e-25,true,9,false,0.0004759,"[4.96979300421865, 1.1912045293525215]","[1.2192815097319654, 1.9026327297429109]",0
12,4.5831135350254364e-26,true,9,false,0.0006241,"[4.969793004262301, 1.1912045293496816]","[0.29291433452245674, 0.6596379523048166]",0
13,2.2249549065501003e-25,true,9,false,0.0008536,"[4.969793004272414, 1.1912045293490234]","[-0.031148130349280094, 0.3646547529502906]",0
14,9.274650809432834e-27,true,9,false,0.0004726,"[4.9697930042577, 1.191204529349981]","[0.3158331001728098, 0.7859141337249973]",0
15,2.7424509684866906e-25,true,9,false,0.000611,"[4.969793004274448, 1.191204529348891]","[-2.1623790026403724, 0.1706378785324274]",0
16,3.900035068880844e-24,true,9,false,0.0003325,"[4.969793004331376, 1.1912045293451872]","[-0.8900766562698114, -1.2890210708540353]",0
17,1.6911202565815004e-28,true,9,false,0.0003386,"[4.969793004253402, 1.1912045293502604]","[0.8542424475591821, 0.9370573773608326]",1
18,1.291079096127942e-25,true,9,false,0.0005605,"[4.969793004268007, 1.1912045293493103]","[0.3417821366484886, 0.5080857763662175]",0
19,8.491949025840844e-24,true,9,false,0.0005122,"[4.969793004368217, 1.1912045293427904]","[-0.3188700715740966, -2.249739828113134]",0
20,4.600759016837064e-25,true,9,false,0.0004865,"[4.969793004280514, 1.1912045293484965]","[-0.33745447783309457, 0.12530157347367626]",0
