idx,obj_value,converged,iterations,iteration_limit_reached,time_it_took,theta_hat,theta0,is_optimum
1,3.8769579060874384e-24,true,2,false,1.3208376,"[4.969793004253975, 1.1912045293511189]","[0.06364138660614915, 0.2604202723600453]",0
2,1.322887984446985e-21,true,2,false,0.0001836,"[4.969793004254968, 1.1912045293667055]","[1.1726360942783431, -0.9272799029227115]",0
3,3.9150118218056866e-21,true,2,false,0.0001471,"[4.969793004252094, 1.1912045293218798]","[0.07698717462614191, -0.32823517370596766]",0
4,7.632306895554235e-23,true,2,false,0.0001219,"[4.969793004254189, 1.1912045293541837]","[-1.3655459849475267, 1.3000598618314951]",0
5,8.599020739351837e-22,true,2,false,0.0001337,"[4.969793004253048, 1.1912045293369427]","[0.24167994562362338, -0.5182863622311493]",0
6,2.21516322938922e-23,true,2,false,0.0208903,"[4.969793004253764, 1.1912045293480957]","[0.08098775639095956, 1.0086857251564538]",0
7,2.8073752565506146e-22,true,2,false,0.0001863,"[4.969793004254414, 1.1912045293578173]","[-1.3772815919169223, -0.1043954838563328]",0
8,2.505728095240017e-21,true,2,false,0.0002396,"[4.9697930042553535, 1.1912045293729066]","[-0.41205202074467273, -1.1933861805337216]",0
9,1.3136879669347553e-22,true,2,false,0.0002165,"[4.969793004253561, 1.1912045293450357]","[0.6603076784709887, 0.22085772740591736]",0
10,1.0745650050676792e-21,true,2,false,0.0002175,"[4.969793004254859, 1.1912045293650788]","[0.49340543618078625, -0.6139004857356011]",0
11,3.7194431789044664e-23,true,2,false,0.0002184,"[4.969793004253723, 1.191204529347465]","[-0.6702076614751001, 1.4503071333595194]",0
12,1.3087402392124895e-20,true,2,false,0.0001899,"[4.969793004250604, 1.191204529298397]","[1.1426924724474192, -0.7979495826778349]",0
13,2.770127022170624e-20,true,2,false,0.0002464,"[4.969793004258742, 1.1912045294256322]","[-0.35715186214167405, -1.1041688023815013]",0
14,9.455032188538289e-23,true,2,false,0.0002532,"[4.969793004254205, 1.1912045293546318]","[-1.2351269426031646, -0.5594852564768137]",0
15,3.1552273370026878e-21,true,2,false,0.000205,"[4.96979300425554, 1.1912045293756761]","[-0.10917076702525708, 0.6409077674586237]",0
16,1.490013747428491e-20,true,2,false,0.0002301,"[4.96979300425035, 1.191204529294926]","[-0.8822252715398702, -1.2283465073466582]",0
17,2.332890170697822e-21,true,2,false,0.0002652,"[4.969793004255301, 1.1912045293721105]","[0.24573702716293688, -0.5656574978848413]",0
18,5.639263497179897e-23,true,2,false,0.0003391,"[4.96979300425413, 1.1912045293536295]","[-1.1365574384456192, -0.8864105480389216]",0
19,2.851681748201982e-24,true,2,false,0.0002452,"[4.969793004253947, 1.1912045293509932]","[-0.3399295112731391, -1.4442840012301845]",1
20,4.5661700679743615e-23,true,2,false,0.000206,"[4.969793004254108, 1.1912045293532887]","[-1.2834578288957794, 1.2427397578313797]",0
